POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
GO/sodium alginate hydrogels,Ciprofloxacin,4.0,33.33333,57.41333,interpolated
GO/sodium alginate hydrogels,Ciprofloxacin,4.0,50.0,86.12,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Carbamazepine,2.0,0.0,0.0,interpolated
Graphene oxide,Carbamazepine,2.0,16.66667,9.41333,interpolated
Graphene oxide,Carbamazepine,2.0,33.33333,18.82667,interpolated
Graphene oxide,Carbamazepine,2.0,50.0,28.24,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Doxorubicin,3.4,0.0,0.0,interpolated
Graphene oxide,Doxorubicin,3.4,116.66667,476.19,interpolated
Graphene oxide,Doxorubicin,3.4,233.33333,952.38,interpolated
Graphene oxide,Doxorubicin,3.4,350.0,1428.57,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Ketoprofen,4.0,0.0,0.0,interpolated
Graphene oxide,Ketoprofen,4.0,16.66667,5.48333,interpolated
Graphene oxide,Ketoprofen,4.0,33.33333,10.96667,interpolated
Graphene oxide,Ketoprofen,4.0,50.0,16.45,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Tetracycline,7.0,0.0,0.0,interpolated
Graphene oxide,Tetracycline,7.0,6.66667,107.66667,interpolated
Graphene oxide,Tetracycline,7.0,13.33333,215.33333,interpolated
Graphene oxide,Tetracycline,7.0,20.0,323.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide (GO),Atenolol,2.0,0.0,0.0,interpolated
Graphene oxide (GO),Atenolol,2.0,20.0,38.66667,interpolated
Graphene oxide (GO),Atenolol,2.0,40.0,77.33333,interpolated
Graphene oxide (GO),Atenolol,2.0,60.0,116.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide (GO),Propranolol,1.0,0.0,0.0,interpolated
Graphene oxide (GO),Propranolol,1.0,20.0,22.33333,interpolated
Graphene oxide (GO),Propranolol,1.0,40.0,44.66667,interpolated
Graphene oxide (GO),Propranolol,1.0,60.0,67.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide nanoparticles,Metformin,6.26,0.0,0.0,interpolated
Graphene oxide nanoparticles,Metformin,6.26,100.0,40.87,interpolated
Graphene oxide nanoparticles,Metformin,6.26,200.0,81.74,interpolated
Graphene oxide nanoparticles,Metformin,6.26,300.0,122.61,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide-ionic liquids,Carbamazepine,2.0,0.0,0.0,interpolated
Graphene oxide-ionic liquids,Carbamazepine,2.0,16.66667,20.62667,interpolated
