POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,homo_eV_H,lumo_eV_H
*CC(C)(C(=O)OCCO)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,25.0,14.73,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-11.105644303587212,-6.4229518937355445
*OC1C(O)C(O)C(*)OC1COC(=O)CC(O)(C(=O)O)CC(=O)NCCN,[Cd+2],5.0,100.0,43.5,https://www.sciencedirect.com/science/article/pii/S0141813022004779,-10.147564920999164,-6.967879017421051
*OC1C(O)C(O)C(*)OC1COC(=O)CC(O)(C(=O)O)CC(=O)NCCN,[Pb+2],5.0,100.0,65.7,https://www.sciencedirect.com/science/article/pii/S0141813022004779,-10.05250085811467,-7.030003214463879
*CC(=C)C(=O)O*,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,6.0,2.0,0.0717,https://link.springer.com/article/10.1007/s11356-022-19130-0,-11.42853105071654,-7.586240196698764
*CC(=C)C(=O)O*,,6.0,2.0,0.07,https://link.springer.com/article/10.1007/s11356-022-19130-0,-11.420225977890079,-7.625734686665456
*CC(=C)C(=O)O*,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,6.0,2.0,0.0719,https://link.springer.com/article/10.1007/s11356-022-19130-0,-11.420223846287811,-7.625730345117142
*CC(C(=O)NC(C)C)*,[Ag],6.6,100.0,13.6,https://www.sciencedirect.com/science/article/pii/S2213343718305608,-10.4765664826985,-5.616289122198847
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,6.18e-05,0.000106766,https://link.springer.com/article/10.1007/s11270-023-06281-0,-7.490945324730553,-5.6732446611691705
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0001,0.00018,interpolated,-7.4160973167043185,-5.5888317105251595
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00013,0.00025,interpolated,-10.142054534259033,-7.395324156114939
